358907,28,22
359101,10,21
359442,7,15
359541,28,22
359618,10,21
359853,8,18
360084,10,21
360558,10,21
360577,11,23
360588,8,18
361052,10,21
361351,28,22
361379,8,18
361494,36,26
361514,10,21
362037,10,21
362107,8,18
362204,19,6
362267,3,8
362326,3,8
362361,28,22
362539,10,21
362575,36,26
362817,3,8
362850,7,15
362861,8,18
362890,42,26
363005,10,21
363342,6,13
363422,23,12
363550,6,13
363600,10,21
363666,8,18
363747,20,11
363827,1,5
363902,7,15
364125,10,21
364239,28,22
364392,8,18
364599,10,21
364703,42,26
364736,19,6
364793,42,26
364889,42,26
364925,42,26
365014,28,22
365110,10,21
365124,8,18
365238,42,26
365572,10,21
365863,8,18
366087,10,21
366561,8,18
366566,10,21
366942,42,26
367063,10,21
367243,8,18
367328,19,6
367576,10,21
367595,28,22
367605,42,26
367955,8,18
368078,10,21
368604,10,21
368743,8,18
368796,28,22
369111,10,21
369504,8,18
369521,3,8
369595,10,21
369602,3,8
369679,42,26
369906,19,6
370006,3,8
370070,10,21
370212,42,26
370239,20,11
370249,8,18
370251,45,15
370578,10,21
370698,28,22
370699,30,24
370843,3,8
370971,8,18
371049,8,18
371101,10,21
371155,25,15
371294,3,8
371302,13,28
371619,10,21
371834,8,18
371980,28,22
372126,10,21
372537,8,18
372688,10,21
372934,28,22
373190,10,21
373245,8,18
373308,20,11
373695,10,21
373772,20,11
373950,8,18
374135,28,22
374165,10,21
374623,10,21
374716,8,18
374951,28,22
375121,10,21
375430,8,18
375608,10,21
375832,42,26
376116,10,21
376141,3,8
376145,8,18
376459,25,15
376603,10,21
376636,28,22
376887,8,18
377122,10,21
377292,28,22
377573,8,18
377582,10,21
377832,3,8
378022,3,8
378075,10,21
378247,3,8
378277,8,18
378474,3,8
378531,10,21
378837,42,26
379008,8,18
379104,10,21
379533,20,11
379605,10,21
379626,28,22
379678,42,26
379732,8,18
380041,10,21
380109,3,8
380159,3,8
380489,10,21
380504,8,18
380660,20,11
380957,10,21
381262,8,18
381448,10,21
381947,10,21
382031,8,18
382225,28,22
382408,12,27
382421,10,21
382660,7,15
382747,28,22
382780,8,18
382940,10,21
382968,11,23
383441,10,21
383529,8,18
383679,28,22
383713,7,15
383902,10,21
384049,20,11
384285,8,18
384396,10,21
384449,7,15
384910,10,21
385045,8,18
385214,11,23
385384,10,21
385403,28,22
385784,8,18
385878,10,21
385917,20,11
385975,19,6
386042,28,22
386427,10,21
386499,8,18
386764,3,8
386896,10,21
387112,28,22
387118,7,15
387231,8,18
387374,10,21
387781,7,15
387800,12,27
387864,10,21
387898,28,22
387992,8,18
388329,10,21
388520,3,8
388622,25,15
388652,28,22
388682,8,18
388824,10,21
389208,28,22
389242,7,15
389286,20,11
389328,10,21
389431,8,18
389793,10,21
389969,20,11
389992,28,22
390171,8,18
390258,10,21
390580,19,6
390697,10,21
390836,7,15
390911,8,18
391085,28,22
391175,10,21
391633,10,21
391641,12,27
391787,28,22
392012,42,26
392090,10,21
392183,42,26
392236,42,26
392395,8,18
392543,28,22
392590,10,21
392621,42,26
392679,42,26
392746,42,26
392766,3,8
392902,3,8
392947,3,8
393076,10,21
393302,45,15
393424,3,8
393510,10,21
393774,28,22
393799,8,18
393990,10,21
394431,10,21
394471,8,18
394887,10,21
395160,3,8
395185,8,18
395389,10,21
395724,3,8
395862,10,21
396076,3,8
396112,3,8
396333,10,21
396597,8,18
396841,10,21
397079,28,22
397340,8,18
397358,10,21
397661,28,22
397840,19,6
397875,10,21
398038,8,18
398123,28,22
398374,10,21
398694,8,18
398745,19,6
398886,10,21
398890,6,13
399247,28,22
399346,10,21
399409,8,18
399767,28,22
399855,10,21
400091,8,18
400368,10,21
400754,8,18
400837,10,21
401252,28,22
401280,10,21
401468,8,18
401895,10,21
402181,8,18
402207,28,22
402363,10,21
402890,10,21
402927,8,18
403143,28,22
403167,11,23
403239,3,8
403377,19,6
403393,10,21
403671,8,18
403916,10,21
404085,3,8
404394,8,18
404429,10,21
404816,28,22
404934,10,21
405029,25,15
405108,8,18
405419,10,21
405468,36,26
405606,28,22
405826,8,18
405875,10,21
406252,20,11
406387,28,22
406411,10,21
406517,8,18
406966,10,21
407006,42,26
407119,28,22
407164,42,26
407211,42,26
407231,8,18
407544,10,21
407612,28,22
407961,8,18
408024,42,26
408045,10,21
408151,3,8
