epoch,Background x Background,Background x Whisker 1,Background x Whisker 2,Background x Whisker 3,Background x Whisker 4,Background x Whisker 5,Whisker 1 x Background,Whisker 1 x Whisker 1,Whisker 1 x Whisker 2,Whisker 1 x Whisker 3,Whisker 1 x Whisker 4,Whisker 1 x Whisker 5,Whisker 2 x Background,Whisker 2 x Whisker 1,Whisker 2 x Whisker 2,Whisker 2 x Whisker 3,Whisker 2 x Whisker 4,Whisker 2 x Whisker 5,Whisker 3 x Background,Whisker 3 x Whisker 1,Whisker 3 x Whisker 2,Whisker 3 x Whisker 3,Whisker 3 x Whisker 4,Whisker 3 x Whisker 5,Whisker 4 x Background,Whisker 4 x Whisker 1,Whisker 4 x Whisker 2,Whisker 4 x Whisker 3,Whisker 4 x Whisker 4,Whisker 4 x Whisker 5,Whisker 5 x Background,Whisker 5 x Whisker 1,Whisker 5 x Whisker 2,Whisker 5 x Whisker 3,Whisker 5 x Whisker 4,Whisker 5 x Whisker 5
0,0.7910266518592834,0.7252269983291626,0.7527947425842285,0.7317346930503845,0.7324336767196655,0.7427840232849121,0.7252270579338074,0.14639721810817719,0.4062407314777374,0.23853883147239685,0.2420484870672226,0.28602135181427,0.7527946829795837,0.4062407314777374,0.26333513855934143,0.45795923471450806,0.45434367656707764,0.5087315440177917,0.7317346930503845,0.23853883147239685,0.45795923471450806,0.0,0.13385789096355438,0.16578704118728638,0.7324336767196655,0.2420484870672226,0.45434367656707764,0.13385789096355438,0.0,0.22389286756515503,0.7427840232849121,0.28602135181427,0.5087315440177917,0.16578704118728638,0.22389286756515503,0.0
1,0.8372682929039001,0.8721029758453369,0.8832346796989441,0.8796600103378296,0.8768901228904724,0.8965532779693604,0.8721029758453369,0.07918184250593185,0.3292093276977539,0.1335357129573822,0.12464319169521332,0.20625144243240356,0.8832346796989441,0.3292093276977539,0.22058555483818054,0.39243054389953613,0.3769376575946808,0.47016412019729614,0.8796600103378296,0.1335357129573822,0.39243054389953613,0.0,0.05272320657968521,0.11909005045890808,0.8768901228904724,0.12464319169521332,0.3769376575946808,0.05272320657968521,0.0,0.1457984447479248,0.8965532779693604,0.20625144243240356,0.47016412019729614,0.11909005045890808,0.1457984447479248,0.0
2,0.8449234962463379,0.9102418422698975,0.9089066386222839,0.9205748438835144,0.9173319935798645,0.9554618000984192,0.9102418422698975,0.06842111051082611,0.2314763069152832,0.14059974253177643,0.12337686121463776,0.325798898935318,0.9089066386222839,0.231476292014122,0.14851579070091248,0.32833823561668396,0.3066787123680115,0.507794201374054,0.9205748438835144,0.14059974253177643,0.32833823561668396,0.0,0.04797234758734703,0.21934737265110016,0.9173319935798645,0.12337686121463776,0.3066787123680115,0.04797234758734703,0.0,0.24643796682357788,0.9554618000984192,0.325798898935318,0.507794201374054,0.21934737265110016,0.24643796682357788,0.0
3,0.8603851199150085,0.9456095099449158,0.9600588083267212,0.9484778046607971,0.9482807517051697,0.9417411088943481,0.9456095099449158,0.09825144708156586,0.39436766505241394,0.11814023554325104,0.1126479059457779,0.21793615818023682,0.9600588083267212,0.39436766505241394,0.10652639716863632,0.46195605397224426,0.44352471828460693,0.5633887648582458,0.9484778046607971,0.11814023554325104,0.46195605397224426,0.0,0.035418394953012466,0.15465818345546722,0.9482807517051697,0.1126479059457779,0.44352471828460693,0.035418394953012466,0.0,0.1764923483133316,0.9417411088943481,0.21793615818023682,0.5633887648582458,0.15465818345546722,0.1764923483133316,0.0
4,0.8638983368873596,0.981029748916626,0.9726911187171936,0.9922617077827454,0.9858477115631104,0.985591471195221,0.981029748916626,0.1672293245792389,0.4124675393104553,0.20093759894371033,0.18127559125423431,0.37086981534957886,0.9726911783218384,0.4124675393104553,0.07255298644304276,0.5748511552810669,0.5217333436012268,0.7275177240371704,0.9922617077827454,0.20093759894371033,0.5748511552810669,0.0,0.06531955301761627,0.2212216854095459,0.9858477115631104,0.18127559125423431,0.5217333436012268,0.06531955301761627,0.0,0.2694983184337616,0.985591471195221,0.37086981534957886,0.7275177240371704,0.2212216854095459,0.2694983184337616,0.0
5,0.865801990032196,1.0038982629776,0.9918177723884583,1.016487717628479,1.0153275728225708,0.9954099059104919,1.0038982629776,0.1900748461484909,0.5057705640792847,0.2170548141002655,0.208102285861969,0.31247860193252563,0.9918177723884583,0.5057705640792847,0.06408713757991791,0.6709011793136597,0.6409147381782532,0.7610822916030884,1.016487717628479,0.2170548141002655,0.6709011793136597,0.0,0.042017754167318344,0.16143444180488586,1.0153275728225708,0.208102285861969,0.6409147381782532,0.042017754167318344,0.0,0.19155310094356537,0.9954099059104919,0.31247860193252563,0.7610822916030884,0.16143444180488586,0.19155310094356537,0.0
6,0.8746378421783447,0.9906247854232788,0.9765413403511047,1.0179203748703003,1.0143208503723145,1.0114965438842773,0.9906247854232788,0.10715025663375854,0.42676493525505066,0.2556580901145935,0.22707036137580872,0.3723808526992798,0.97654128074646,0.42676493525505066,0.02963205985724926,0.667036771774292,0.6384512186050415,0.7655918598175049,1.0179203748703003,0.2556580901145935,0.667036771774292,0.0,0.0366816371679306,0.15099824965000153,1.0143208503723145,0.22707036137580872,0.6384512186050415,0.0366816371679306,0.0,0.17787812650203705,1.0114965438842773,0.3723808526992798,0.7655918598175049,0.15099824965000153,0.17787812650203705,0.0
7,0.8727051615715027,1.0219428539276123,0.9961274266242981,1.0409789085388184,1.0391845703125,1.0284931659698486,1.0219429731369019,0.219625324010849,0.4941941797733307,0.2514437437057495,0.24165093898773193,0.3309580683708191,0.9961274266242981,0.4941941797733307,0.04380150884389877,0.7034624814987183,0.6804803013801575,0.7835076451301575,1.0409789085388184,0.2514437437057495,0.7034624814987183,0.0,0.03132416680455208,0.13062529265880585,1.0391845703125,0.24165093898773193,0.6804803013801575,0.03132416680455208,0.0,0.152668759226799,1.0284931659698486,0.3309580683708191,0.7835076451301575,0.13062529265880585,0.152668759226799,0.0
8,0.8761293292045593,1.026352047920227,1.0314570665359497,1.036331295967102,1.038079023361206,1.018777847290039,1.026352047920227,0.13108950853347778,0.683264434337616,0.15466180443763733,0.15299001336097717,0.16607579588890076,1.0314570665359497,0.683264434337616,0.022883320227265358,0.7521572709083557,0.7414284348487854,0.7918195724487305,1.036331295967102,0.15466180443763733,0.7521572709083557,0.0,0.019446032121777534,0.08939787745475769,1.038079023361206,0.15299001336097717,0.7414284348487854,0.019446032121777534,0.0,0.10255755484104156,1.018777847290039,0.16607579588890076,0.7918195724487305,0.08939787745475769,0.10255755484104156,0.0
9,0.8769528865814209,1.0420613288879395,1.0223270654678345,1.0566848516464233,1.0574268102645874,1.037173867225647,1.0420613288879395,0.11752671003341675,0.566683828830719,0.20913659036159515,0.1945742517709732,0.28820979595184326,1.022327184677124,0.566683828830719,0.029336851090192795,0.7555577754974365,0.7414854168891907,0.8065288662910461,1.0566848516464233,0.20913659036159515,0.7555577754974365,0.0,0.02424732968211174,0.11871541291475296,1.0574268102645874,0.1945742517709732,0.7414854168891907,0.02424732968211174,0.0,0.13449381291866302,1.037173867225647,0.28820979595184326,0.8065288662910461,0.11871541291475296,0.13449381291866302,0.0
