Frame,X,Y,Probability
11540,165.0,90.0,0.87
11541,169.0,84.0,0.85
13463,168.0,88.0,0.85
13464,167.0,90.0,0.86
13465,165.0,93.0,0.89
13466,163.0,97.0,0.87
13467,162.0,102.0,0.88
13468,161.0,106.0,0.88
13469,159.0,110.0,0.88
13470,159.0,116.0,0.87
13471,159.0,121.0,0.87
13472,159.0,126.0,0.87
13473,160.0,130.0,0.87
13474,160.0,132.0,0.87
13475,160.0,135.0,0.87
13476,159.0,137.0,0.87
13477,158.0,139.0,0.87
13478,156.0,140.0,0.87
13479,155.0,140.0,0.88
13480,154.0,139.0,0.88
13481,153.0,138.0,0.89
13482,152.0,137.0,0.87
13483,151.0,136.0,0.88
13484,150.0,135.0,0.87
13485,149.0,133.0,0.88
13486,149.0,129.0,0.87
13487,147.0,123.0,0.89
13488,147.0,117.0,0.89
13489,148.0,111.0,0.89
13490,151.0,105.0,0.9
13491,154.0,99.0,0.89
13492,159.0,96.0,0.88
13493,163.0,90.0,0.87
13494,170.0,87.0,0.85
13519,171.0,90.0,0.74
13520,168.0,99.0,0.84
13521,165.0,106.0,0.85
13522,163.0,116.0,0.82
13523,163.0,127.0,0.84
13524,165.0,137.0,0.87
13525,168.0,144.0,0.86
13526,169.0,149.0,0.88
13527,170.0,155.0,0.87
13528,170.0,160.0,0.86
13529,169.0,163.0,0.86
13530,168.0,165.0,0.86
13531,167.0,167.0,0.87
13532,168.0,169.0,0.86
13533,167.0,169.0,0.87
13534,166.0,169.0,0.87
13535,165.0,170.0,0.88
13536,165.0,170.0,0.88
13537,163.0,170.0,0.87
13538,163.0,170.0,0.88
13539,161.0,170.0,0.88
13540,161.0,170.0,0.88
13541,160.0,170.0,0.87
13542,158.0,169.0,0.87
13543,157.0,168.0,0.87
13544,155.0,168.0,0.87
13545,154.0,167.0,0.86
13546,152.0,166.0,0.85
13547,150.0,164.0,0.85
13548,148.0,162.0,0.84
13549,145.0,157.0,0.84
13550,143.0,153.0,0.86
13551,141.0,146.0,0.84
13552,140.0,139.0,0.83
13553,139.0,131.0,0.85
13554,140.0,124.0,0.82
13555,142.0,116.0,0.8
13556,146.0,112.0,0.8
13557,147.0,107.0,0.8
13558,151.0,103.0,0.9
13559,155.0,98.0,0.89
13560,161.0,95.0,0.84
13561,166.0,90.0,0.87
13583,164.0,91.0,0.82
13584,160.0,101.0,0.88
13585,156.0,110.0,0.88
13586,154.0,119.0,0.89
13587,154.0,129.0,0.89
13588,155.0,136.0,0.89
13589,156.0,141.0,0.88
13590,156.0,144.0,0.87
13591,156.0,145.0,0.87
13592,155.0,144.0,0.87
13593,155.0,143.0,0.87
13594,154.0,140.0,0.86
13595,153.0,137.0,0.87
13596,149.0,130.0,0.87
13597,148.0,119.0,0.87
13598,151.0,107.0,0.88
13599,157.0,99.0,0.88
13600,165.0,90.0,0.83
13622,165.0,89.0,0.81
13623,160.0,96.0,0.84
13624,156.0,104.0,0.87
13625,151.0,112.0,0.87
13626,150.0,121.0,0.88
13627,150.0,129.0,0.89
13628,150.0,136.0,0.88
13629,149.0,142.0,0.88
13630,149.0,147.0,0.89
13631,149.0,151.0,0.89
13632,149.0,154.0,0.88
13633,149.0,154.0,0.88
13634,148.0,153.0,0.87
13635,147.0,152.0,0.88
13636,146.0,150.0,0.88
13637,143.0,147.0,0.86
13638,142.0,144.0,0.87
13639,141.0,141.0,0.87
13640,139.0,135.0,0.85
13641,140.0,129.0,0.83
13642,142.0,122.0,0.83
13643,143.0,112.0,0.82
13644,148.0,105.0,0.88
13645,155.0,96.0,0.88
13646,163.0,89.0,0.81
13669,165.0,90.0,0.85
13670,161.0,95.0,0.87
13671,157.0,103.0,0.9
13672,154.0,113.0,0.89
13673,152.0,123.0,0.89
13674,152.0,132.0,0.88
13675,151.0,140.0,0.88
13676,151.0,146.0,0.88
13677,151.0,151.0,0.88
13678,153.0,154.0,0.88
13679,152.0,156.0,0.88
13680,151.0,156.0,0.87
13681,149.0,154.0,0.89
13682,148.0,152.0,0.88
13683,146.0,148.0,0.88
13684,144.0,144.0,0.88
13685,141.0,138.0,0.88
13686,138.0,131.0,0.85
13687,139.0,124.0,0.85
13688,139.0,115.0,0.86
13689,145.0,106.0,0.89
13690,153.0,97.0,0.87
13691,161.0,90.0,0.86
13713,161.0,95.0,0.87
13714,156.0,103.0,0.88
13715,151.0,112.0,0.89
13716,149.0,123.0,0.9
13717,149.0,134.0,0.89
13718,150.0,143.0,0.88
13719,150.0,149.0,0.89
13720,151.0,154.0,0.87
13721,152.0,158.0,0.86
13722,151.0,159.0,0.87
13723,150.0,161.0,0.86
13724,150.0,162.0,0.87
13725,150.0,162.0,0.87
13726,149.0,161.0,0.87
13727,148.0,161.0,0.86
13728,147.0,160.0,0.87
13729,145.0,158.0,0.88
