     0.00227,    3,    5
     0.00343,    1,   26
     0.01170,    1,    7
     0.01247,    1,   26
     0.01350,    1,   26
     0.01457,    1,    7
     0.01553,    5,   22
     0.01670,    1,    2
     0.01973,    1,    7
     0.02197,    1,   26
     0.02220,    9,   30
     0.02310,    1,   26
     0.02923,    1,   26
     0.02957,    3,    5
     0.03527,    1,    2
     0.04130,    3,    5
     0.04173,    1,    7
     0.04437,    1,   26
     0.04890,    1,   26
     0.04990,    1,   26
     0.05337,    1,    7
     0.05437,    1,    2
     0.05483,   24,   31
     0.05887,    9,   30
     0.06070,    8,   22
     0.06100,    1,    7
     0.06273,    1,   26
     0.06420,    5,   18
     0.06420,    1,   26
     0.06773,    1,   26
     0.07060,    1,    7
     0.07187,    1,    2
     0.08077,   17,   25
     0.08167,   24,   31
     0.08197,    1,    2
     0.08340,    1,    7
     0.08807,    1,   26
     0.08887,    1,    2
     0.09110,    1,   26
     0.09227,    1,   26
     0.09283,    9,   30
     0.09357,    1,    7
     0.09440,    1,   26
     0.09557,    1,    7
     0.09747,    1,    7
     0.09920,   24,   31
     0.10477,    1,    2
     0.10643,    1,    7
     0.10877,    1,    2
     0.11830,   22,   30
     0.11850,    1,    2
     0.12217,    1,    7
     0.12397,    1,    7
     0.12453,    1,   26
     0.12563,   24,   31
     0.12707,   17,   25
     0.12803,    1,   26
     0.12870,    1,    7
     0.13153,    1,    7
     0.13177,    9,   30
     0.13480,    1,    2
     0.13760,    1,    2
     0.13857,    1,   26
     0.14023,    8,   22
     0.14767,    4,    8
     0.15273,    1,   26
     0.15373,    1,   26
     0.15673,   24,   31
     0.16120,    8,   22
     0.16143,    1,    7
     0.16273,    1,   26
     0.16880,    1,   26
     0.16943,    9,   30
     0.17440,    1,   26
     0.17583,    1,   26
     0.17707,    8,   22
     0.18160,    1,   26
     0.18387,    1,    2
     0.18483,   24,   31
     0.20370,    1,   26
     0.20463,    1,   26
     0.20643,    1,   26
     0.20740,    1,   26
     0.20807,    9,   30
     0.20873,    1,   26
     0.21107,    8,   22
     0.23070,    8,   22
     0.24300,    9,   30
     0.24783,    1,   26
     0.25050,    8,   22
     0.25337,    1,    2
     0.26577,    1,    2
     0.26857,   17,   25
     0.26880,    1,    7
     0.27050,    1,    2
     0.27297,    1,    2
     0.27523,    1,   26
     0.27560,   17,   25
     0.28213,    1,   26
     0.28607,    1,    2
     0.28610,    9,   30
     0.29203,   17,   25
     0.29323,    8,   22
     0.29393,    1,    7
     0.29767,    1,   26
     0.29877,    1,   26
     0.30280,    1,   26
     0.30387,    1,   26
     0.30923,    1,    2
     0.31440,    1,   26
     0.31467,    8,   22
     0.31820,    8,   22
     0.31930,    8,   22
     0.32473,   24,   31
     0.32620,    1,   26
     0.33367,    1,    7
     0.33480,   17,   25
     0.33547,    1,   26
     0.33600,    1,    7
     0.34033,    1,   26
     0.34220,    1,    7
     0.34820,    8,   22
     0.35320,    9,   30
     0.35363,    1,    7
     0.35597,   17,   25
     0.35793,   17,   25
     0.38093,    8,   22
     0.39367,   24,   31
     0.39583,    9,   30
     0.39720,    1,   26
     0.39843,    1,   26
     0.39903,    1,    7
     0.40250,    1,    7
     0.40313,    1,   26
     0.40403,    1,   26
     0.40740,    1,    7
     0.41257,    1,   26
     0.41540,    1,    2
     0.41853,    1,    2
     0.42207,    8,   22
     0.42907,    1,   26
     0.43157,    1,    7
     0.43347,    1,   26
     0.43473,    1,   26
     0.43540,    9,   30
     0.43620,    8,   22
     0.43877,    1,    7
     0.44003,    1,   26
     0.44863,    8,   22
     0.45197,    1,    7
     0.45407,   24,   31
     0.45457,    1,    2
     0.45477,    4,    8
     0.46447,   22,   30
     0.46790,    8,   22
     0.47080,    8,   22
     0.47530,    9,   30
     0.47623,    1,   26
     0.47717,   22,   30
     0.47740,    1,   26
     0.48110,    1,   26
     0.48197,    1,   26
     0.48333,    1,   26
     0.49097,    8,   22
     0.51173,    8,   22
     0.53170,    8,   22
     0.54943,    8,   22
     0.55843,    9,   30
     0.57110,    8,   22
     0.57653,    1,    2
     0.59650,    1,    7
     0.59990,    9,   30
     0.60273,    8,   22
     0.60493,    1,   26
     0.60603,    1,   26
     0.61680,    1,    7
     0.61793,    1,   26
     0.62320,    1,    7
     0.63070,    1,    7
     0.63613,    9,   30
     0.65593,    8,   22
     0.69097,    8,   22
     0.71860,    8,   22
     0.75873,    8,   22
     0.77550,    9,   30
     0.78840,    8,   22
     0.80233,    8,   22
     0.81997,   23,   31
     0.85990,    9,   30
     0.86533,    8,   22
     0.90287,    9,   30
     0.90597,    8,   22
     0.92540,    8,   22
     0.93903,   22,   30
     0.94447,    9,   30
     0.94517,    8,   22
     0.95703,    1,    7
     0.96570,    8,   22
     0.98813,    9,   30
     0.98893,    8,   22
     1.01717,    8,   22
     1.02980,    9,   30
     1.04937,    1,   26
     1.06480,    8,   22
     1.06627,    9,   30
     1.08403,    8,   22
     1.08607,    1,    2
     1.10303,    8,   22
     1.10547,    9,   30
     1.12363,    8,   22
     1.14510,    9,   30
     1.14987,    8,   22
     1.16357,    1,    2
     1.16920,    8,   22
     1.17027,    1,   26
     1.17137,    1,   26
     1.18140,    9,   30
     1.20737,    8,   22
     1.21853,    8,   22
     1.22043,    9,   30
     1.22367,   22,   30
     1.23727,    8,   22
     1.26090,    9,   30
     1.27583,    1,    2
     1.28453,    8,   22
     1.29483,    4,    8
     1.29633,    1,    2
     1.29763,    9,   30
     1.30767,    8,   22
     1.32983,    8,   22
     1.33723,    9,   30
     1.37350,    9,   30
     1.38400,    1,   26
     1.38513,    1,   26
     1.39703,    1,    7
     1.41327,    1,    2
     1.41593,    8,   22
     1.41937,    1,    2
     1.43323,    8,   22
     1.45083,    9,   30
     1.45683,    8,   22
     1.47300,    8,   22
     1.47600,   22,   30
     1.48940,    8,   22
     1.49120,    9,   30
     1.51550,    8,   22
     1.51820,    1,   26
     1.52310,    1,   26
     1.52483,    1,    7
     1.52533,    9,   30
     1.53097,    1,    2
     1.53207,    1,    7
     1.53443,    1,   26
     1.53607,    1,    7
     1.53787,    1,    7
     1.53977,    1,    7
     1.54223,    1,   26
     1.54297,    1,   26
     1.54347,    1,    7
     1.54450,    1,    7
     1.54573,    1,    2
     1.54597,    3,    5
     1.54680,    5,   22
     1.54680,    1,   26
     1.54713,    3,    5
     1.54927,    2,    3
     1.54957,   24,   31
     1.55063,    1,    2
     1.55103,    3,    5
     1.55250,    4,    8
     1.55277,    5,   22
     1.55310,    3,    5
     1.55560,    1,    7
     1.55683,    1,    7
     1.55943,    8,   27
     1.55957,    9,   30
     1.56063,    1,    2
     1.56180,   23,   31
     1.56180,    1,    2
     1.56380,    1,    7
     1.56663,    1,    2
     1.56833,    4,    8
     1.56863,    5,   22
     1.56893,    1,    2
     1.57070,    4,    8
     1.57147,    2,    3
     1.57450,   24,   31
     1.57567,    1,    2
     1.57700,    5,   18
     1.57730,    3,    5
     1.57937,    1,    7
     1.57957,    9,   30
     1.58093,    5,   22
     1.58150,    1,    7
     1.58260,    5,   18
     1.58490,    5,   18
     1.58613,    1,    7
     1.58693,    5,   22
     1.58927,    1,   26
     1.59007,    1,    7
     1.59077,    5,   22
     1.59167,    1,    7
     1.59223,    1,   26
     1.59317,    9,   14
     1.59483,    1,   26
     1.59500,    9,   30
     1.59610,   24,   31
     1.59747,    1,    2
     1.60003,    1,    7
     1.60183,    4,    8
     1.60350,    5,   22
     1.60353,    1,   26
     1.60373,    3,    5
     1.60407,   27,   17
     1.60473,    5,   22
     1.60493,    9,   30
     1.60620,    1,    2
     1.60620,    5,   22
     1.60910,    1,    7
     1.61040,    9,   30
     1.61193,    1,    7
     1.61297,    5,   18
     1.61297,    1,    7
     1.61557,    5,   13
     1.61560,    1,   26
     1.61730,   24,   31
     1.61877,    1,    2
     1.61960,    1,   26
     1.62243,    1,   26
     1.62437,    1,   26
     1.62443,    5,   18
     1.62760,    1,    7
     1.63090,    1,   26
     1.63133,    1,   26
     1.63223,    1,    7
     1.63230,    9,   30
     1.63297,    4,    8
     1.63380,    1,    7
     1.63417,   23,   31
     1.63507,    1,    2
     1.63857,    1,   26
     1.64303,    1,    7
     1.64443,    1,   26
     1.64533,    1,    2
     1.64817,    4,    8
     1.65150,    1,    7
     1.65737,    8,   22
     1.66153,    1,    7
     1.66433,    1,    2
     1.66603,    1,    7
     1.67167,    1,    7
     1.67200,    9,   30
     1.67423,    1,   26
     1.67647,    1,   26
     1.67963,    1,   26
     1.68183,    4,    8
     1.68283,    1,   26
     1.68507,    1,    7
     1.68760,    1,    7
     1.68840,   23,   31
     1.68840,    1,   26
     1.69043,    8,   27
     1.69103,    1,   26
     1.70047,    8,   22
     1.70707,    1,   26
     1.70720,   24,   31
     1.70797,    1,   26
     1.70860,    1,   26
     1.71117,    1,   26
     1.71450,    1,    7
     1.71773,    1,   26
     1.71813,   24,   31
     1.71863,    1,   26
     1.71917,    1,    2
     1.72380,    1,    7
     1.72840,    1,   26
     1.73593,    8,   22
     1.73857,   24,   31
     1.74227,    1,   26
     1.74323,    1,   26
     1.74347,    9,   30
     1.74447,    1,   26
     1.74457,   17,   25
     1.74630,    1,    7
     1.74943,    1,    7
     1.75527,    1,   26
     1.75577,    8,   22
     1.75693,   24,   31
     1.75733,    1,    7
     1.76000,    1,    7
     1.76113,    1,    7
     1.76233,   23,   31
     1.76503,    1,    7
     1.76550,   22,   30
     1.77240,    1,    7
     1.77593,    1,   26
     1.77763,    5,   22
     1.78667,    1,    2
     1.79547,    1,    2
     1.79820,    8,   22
     1.79873,   17,   25
     1.80100,    8,   22
     1.81123,    1,    2
     1.81290,    1,   26
     1.81373,    8,   22
     1.81427,    1,   26
     1.81720,    1,   26
     1.81987,    1,    7
     1.82180,    1,    7
     1.82240,    1,   26
     1.82390,    1,    2
     1.82433,    9,   30
     1.82443,    1,    7
     1.83093,    1,    7
     1.83233,    1,   26
     1.83323,    1,   26
     1.83347,    8,   22
     1.83373,    1,    7
     1.83420,    8,   22
     1.83867,    1,    7
     1.84533,    1,    2
     1.84647,    8,   22
     1.85133,   22,   30
     1.85517,   17,   25
     1.86407,    9,   30
     1.86753,    8,   22
     1.87047,    1,   26
     1.88473,    1,   26
     1.88573,    1,   26
     1.88797,    8,   22
     1.88977,    1,   26
     1.89130,    1,   26
     1.89243,    1,   26
     1.90283,    9,   30
     1.90760,    1,   26
     1.91110,    8,   22
     1.93310,    8,   22
     1.93810,    8,   22
     1.93940,    1,    7
     1.94080,    1,    7
     1.94220,    1,   26
     1.94340,    1,    7
     1.94497,    1,    7
     1.94610,    1,   26
     1.95137,    9,   30
     1.95297,    1,    7
     1.95383,   17,   25
     1.95407,    1,   26
     1.95690,    1,   26
     1.95693,    8,   22
     1.95880,    1,    7
     1.96227,    1,    2
     1.96387,    1,   26
     1.96713,    1,    7
     1.96977,    1,   26
     1.97003,   22,   30
     1.97087,    1,    7
     1.97417,    1,    7
     1.98273,    1,    7
     1.99080,    9,   30
     1.99300,    8,   22
     1.99460,    1,   26
     1.99563,    1,   26
     2.00070,    1,   26
     2.00717,    1,   26
     2.00840,    1,   26
     2.01690,    1,   26
     2.02810,    9,   30
     2.03013,    1,   26
     2.03117,    1,   26
     2.03900,   17,   25
     2.05027,    1,   26
     2.05377,    8,   22
     2.05793,   24,   31
     2.06370,    8,   22
     2.07207,    9,   30
     2.08573,    8,   22
     2.09750,   24,   31
     2.11027,    8,   22
     2.11357,    9,   30
     2.11843,   22,   30
     2.11967,    8,   22
     2.14127,    8,   22
     2.14500,    1,   26
     2.14613,    1,   26
     2.14997,    1,   26
     2.15170,    9,   30
     2.15550,    1,   26
     2.15623,    8,   22
     2.15670,    1,   26
     2.15960,    4,    8
     2.16317,    1,    7
     2.17170,    8,   22
     2.17240,    1,   26
     2.17343,    1,   26
     2.18327,    1,    2
     2.19360,    1,    7
     2.20033,    8,   22
     2.20170,    1,   26
     2.21230,    1,   26
     2.21630,    1,    7
     2.23020,    8,   22
     2.25140,    8,   22
     2.26157,    8,   22
     2.26533,    1,   26
     2.26670,    1,   26
     2.27463,    1,    7
     2.30417,    8,   22
     2.32003,    8,   22
     2.32137,    1,   26
     2.32277,    1,   26
     2.32327,    9,   30
     2.35947,    8,   22
     2.36460,    9,   30
     2.37987,    1,    2
     2.38177,    8,   22
     2.38990,   17,   25
     2.39510,   17,   25
     2.40057,    9,   30
     2.40090,    1,    7
     2.40253,   22,   30
     2.40603,    8,   22
     2.41050,   22,   30
     2.41450,    1,    7
     2.41877,   22,   30
     2.42557,    8,   22
     2.44240,    8,   22
     2.45453,    1,   26
     2.45580,    1,   26
     2.46447,    1,    7
     2.46580,    1,   26
     2.46853,    8,   22
     2.47410,    9,   30
     2.48367,    1,    7
     2.49473,    8,   22
     2.51520,    9,   30
     2.51877,    8,   22
     2.53917,    8,   22
     2.54737,    4,    8
     2.55250,    9,   30
     2.56620,    8,   22
     2.59397,    8,   22
     2.61723,    8,   22
     2.64547,    8,   22
     2.64700,    1,    2
     2.64843,    1,   26
     2.67147,    8,   22
     2.67490,    9,   30
     2.69213,    8,   22
     2.71277,    9,   30
     2.71620,    8,   22
     2.73580,    1,    2
     2.75663,    9,   30
     2.76227,    8,   22
     2.77830,    1,    2
     2.78903,    8,   22
     2.79790,    9,   30
     2.81127,    8,   22
