folder,day,session,group,total_licks,total_bouts,total_frames,licks_per_frame,bouts_per_frame,mean_licks_per_bout,std_licks_per_bout,mean_max_tongue_area,mean_lick_duration,mean_interlick_interval
719_1,719,1,Before,286,51,49956.0,0.005725038033469453,0.0010208983905837137,5.607843137254902,8.148812014944385,2574.1013986013986,28.48951048951049,22.625531914893617
720_1,720,1,Before,250,65,52919.0,0.004724201137587634,0.001228292295772785,3.8461538461538463,7.2180995794226614,2428.52,24.848,21.697297297297297
721_1,721,1,Before,247,76,49466.0,0.004993328751061335,0.0015364088464804107,3.25,7.319608368394218,2038.5263157894738,25.234817813765183,22.795321637426902
725_1,725,1,Unknown,308,84,49725.0,0.006194067370537959,0.0016892911010558068,3.6666666666666665,5.223518025454586,2136.3766233766232,20.31168831168831,29.111607142857142
725_2,725,2,Unknown,193,57,51608.0,0.003739730274376066,0.0011044799255929313,3.3859649122807016,5.027617960415223,2296.0259067357515,21.911917098445596,28.455882352941178
726_1,726,1,Unknown,226,47,50056.0,0.00451494326354483,0.0009389483778168451,4.808510638297872,5.792192263024501,2276.079646017699,19.207964601769913,25.368715083798882
728_1,728,1,Unknown,143,22,50007.0,0.0028595996560481533,0.0004399384086227928,6.5,7.42422033745279,1540.7342657342658,16.083916083916083,28.41322314049587
728_2,728,2,Unknown,184,19,50053.0,0.003676103330469702,0.00037959762651589317,9.68421052631579,5.897764468931779,2026.5326086956522,18.347826086956523,24.096969696969698
729_1,729,1,Unknown,74,10,40232.0,0.0018393318751242793,0.000248558361503281,7.4,3.062315754094894,1353.8918918918919,14.945945945945946,30.28125
729_2,729,2,Unknown,15,5,31414.0,0.0004774941109059655,0.00015916470363532182,3.0,1.0,1293.8666666666666,15.733333333333333,32.9
729_3,729,3,Unknown,69,11,45374.0,0.0015206946709569358,0.00024242958522501873,6.2727272727272725,4.125309905713972,1357.4782608695652,14.202898550724637,26.637931034482758
731_1,731,1,Unknown,86,11,40613.0,0.002117548568192451,0.00027084923546647627,7.818181818181818,7.318718218625195,921.453488372093,11.313953488372093,31.0
731_2,731,2,Unknown,21,6,37758.0,0.0005561735261401557,0.0001589067217543302,3.5,1.51657508881031,806.1428571428571,10.428571428571429,37.266666666666666
731_3,731,3,Unknown,23,5,40604.0,0.000566446655501921,0.0001231405772830263,4.6,3.5071355833500366,906.0,11.565217391304348,32.111111111111114
801_1,801,1,Unknown,76,12,47803.0,0.001589858377089304,0.00025103027006673223,6.333333333333333,7.15202874375622,810.3026315789474,9.763157894736842,36.40625
801_2,801,2,Unknown,27,6,45426.0,0.0005943732664113062,0.0001320829480914014,4.5,3.391164991562634,740.2962962962963,11.148148148148149,27.666666666666668
801_3,801,3,Unknown,72,12,49728.0,0.0014478764478764478,0.00024131274131274132,6.0,2.215646837627989,846.3472222222222,10.5,33.833333333333336
801_4,801,4,Unknown,45,6,47552.0,0.0009463324360699866,0.00012617765814266487,7.5,3.8340579025361627,933.7777777777778,11.4,33.07692307692308
