Folder,Status,ContentStatus,shared_csvs,identical_csvs,size_mismatch_csvs,content_mismatch_csvs,only_in_whiskers_csvs,only_in_whisker_dataset_2_csvs,whiskers_Images,whiskers_0 labels,whiskers_1 labels,whiskers_2 labels,whiskers_3 labels,whiskers_4 labels,whiskers_5 labels,whiskers_6 labels,whiskers_7 labels,whiskers_8 labels,whisker_dataset_2_Images,whisker_dataset_2_0 labels,whisker_dataset_2_1 labels,whisker_dataset_2_2 labels,whisker_dataset_2_3 labels,whisker_dataset_2_4 labels,whisker_dataset_2_5 labels,whisker_dataset_2_6 labels,whisker_dataset_2_7 labels,whisker_dataset_2_8 labels,diff_Images,diff_0 labels,diff_1 labels,diff_2 labels,diff_3 labels,diff_4 labels,diff_5 labels,diff_6 labels,diff_7 labels,diff_8 labels
0110_1,identical_counts_and_csv_content,csv_identical,552,552,0,0,0,0,112,112,110,110,110,110,0,0,0,0,112,112,110,110,110,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0111_1,identical_counts_and_csv_content,csv_identical,9090,9090,0,0,0,0,1818,1818,1818,1818,1818,1818,0,0,0,0,1818,1818,1818,1818,1818,1818,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0112_1,identical_counts_and_csv_content,csv_identical,484,484,0,0,0,0,121,121,121,121,121,0,0,0,0,0,121,121,121,121,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0112_2,identical_counts_and_csv_content,csv_identical,5880,5880,0,0,0,0,1176,1176,1176,1176,1176,1176,0,0,0,0,1176,1176,1176,1176,1176,1176,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0120_1,identical_counts_and_csv_content,csv_identical,60,60,0,0,0,0,15,15,15,15,15,0,0,0,0,0,15,15,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0121_1,identical_counts_and_csv_content,csv_identical,1460,1460,0,0,0,0,365,365,365,365,365,0,0,0,0,0,365,365,365,365,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0124_1_2,identical_counts_and_csv_content,csv_identical,1176,1176,0,0,0,0,294,294,294,294,294,0,0,0,0,0,294,294,294,294,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0215_1,identical_counts_and_csv_content,csv_identical,4055,4055,0,0,0,0,811,811,811,811,811,811,0,0,0,0,811,811,811,811,811,811,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0228_1,identical_counts_and_csv_content,csv_identical,3450,3450,0,0,0,0,690,690,690,690,690,690,0,0,0,0,690,690,690,690,690,690,0,0,0,0,0,0,0,0,0,0,0,0,0,0
031925_2,only_in_whisker_dataset_2,,,,,,,,,,,,,,,,,,542,395,446,343,288,219,0,0,0,0,,,,,,,,,,
040924_1,identical_counts_and_csv_content,csv_identical,214,214,0,0,0,0,214,214,0,0,0,0,0,0,0,0,214,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0424_1,identical_counts_and_csv_content,csv_identical,206,206,0,0,0,0,206,206,0,0,0,0,0,0,0,0,206,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0425_1,identical_counts_and_csv_content,csv_identical,500,500,0,0,0,0,500,0,500,0,0,0,0,0,0,0,500,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
